epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2917,1.92069,4.04338,1.80647,0,0,0,0,1.28423,4.13708,1.47542,2.856e-05,2.856e-05,2.856e-05
2,57.8031,1.76544,4.08129,1.6927,0,0,0,0,1.13647,4.12282,1.36637,6.06548e-05,6.06548e-05,6.06548e-05
3,78.1711,1.56957,3.9727,1.59784,0,0,0,0,1.0475,4.11049,1.31032,9.14301e-05,9.14301e-05,9.14301e-05
4,98.4399,1.41272,3.94254,1.45719,0,0,0,0,1.1056,4.11284,1.32443,0.000120886,0.000120886,0.000120886
5,117.887,1.36229,3.85978,1.41945,0,0,0,0,1.04036,4.07685,1.26046,0.000149022,0.000149022,0.000149022
6,137.45,1.22183,3.78323,1.32821,0.04464,0.00627,0.02596,0.01624,0.89335,4.03289,1.17076,0.000175839,0.000175839,0.000175839
7,156.838,1.25851,3.70198,1.32594,0.10603,0.07774,0.09222,0.0667,0.8223,4.01132,1.12281,0.000201337,0.000201337,0.000201337
8,176.42,1.23838,3.54892,1.34375,0.11861,0.18124,0.15917,0.12186,0.7763,3.95687,1.09178,0.000225515,0.000225515,0.000225515
9,196.146,1.15585,3.5254,1.30866,0.08637,0.28089,0.16218,0.12424,0.79044,3.92594,1.09108,0.000248373,0.000248373,0.000248373
10,217.749,1.10705,3.39814,1.22581,0.0658,0.33641,0.1688,0.12626,0.81201,3.88614,1.09289,0.000269912,0.000269912,0.000269912
11,237.281,1.10239,3.3199,1.25208,0.04476,0.47313,0.22031,0.14694,0.87859,3.73223,1.13784,0.000290132,0.000290132,0.000290132
12,256.577,1.11392,3.23964,1.33621,0.03943,0.55751,0.22058,0.14156,0.91416,3.61569,1.16032,0.000309032,0.000309032,0.000309032
13,275.842,1.08499,3.19151,1.29932,0.19405,0.43784,0.24242,0.15589,0.92148,3.49131,1.16686,0.000326612,0.000326612,0.000326612
14,294.487,1.14787,3.09812,1.27239,0.19405,0.43784,0.24242,0.15589,0.92148,3.49131,1.16686,0.000342873,0.000342873,0.000342873
15,313.722,0.99995,2.98949,1.23383,0.95188,0.08886,0.25936,0.17255,0.88536,3.33871,1.15776,0.000344053,0.000344053,0.000344053
