epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3775,1.70847,3.75655,1.76981,0.00233,0.25635,0.05596,0.02381,1.82183,3.95119,2.04075,3e-05,3e-05,0.09703
2,42.7152,1.76416,3.47812,1.79036,0.00224,0.21944,0.03343,0.00996,1.96242,3.93174,2.31067,6.9538e-05,6.9538e-05,0.0930695
3,62.857,1.44706,3.11048,1.56436,0.00118,0.14087,0.03364,0.01071,1.97643,3.8992,2.2823,0.000108548,0.000108548,0.0891085
4,83.689,1.55,2.71301,1.56114,0.00117,0.12004,0.01383,0.00499,2.17756,4.29738,2.50814,0.00014703,0.00014703,0.085147
5,104.918,1.52017,2.77699,1.63254,0.00112,0.1121,0.01851,0.00769,2.19404,4.40859,2.50461,0.000184984,0.000184984,0.081185
6,125.437,1.47629,3.73535,1.74352,0.16818,0.09821,0.03225,0.01302,2.20104,4.40472,2.55355,0.00022241,0.00022241,0.0772224
7,145.85,1.34032,2.62065,1.58253,0.33493,0.08532,0.0375,0.01706,2.144,4.21198,2.54153,0.000259308,0.000259308,0.0732593
8,164.72,1.55441,3.07381,1.8184,0.41814,0.09127,0.05012,0.02474,2.03786,4.0496,2.46528,0.000295678,0.000295678,0.0692957
9,183.281,1.42205,2.47537,1.64023,0.00538,0.29111,0.06123,0.0278,1.93546,3.86411,2.34203,0.00033152,0.00033152,0.0653315
10,201.907,1.3593,2.28219,1.52052,0.00643,0.37608,0.08245,0.04154,1.8176,3.69616,2.1608,0.000366834,0.000366834,0.0613668
11,220.386,1.49677,2.41206,1.6857,0.87627,0.08234,0.10052,0.0558,1.77162,3.59646,2.10918,0.00040162,0.00040162,0.0574016
12,239.972,1.27077,2.96676,1.56648,0.90746,0.05259,0.10315,0.05889,1.80363,3.41072,2.21067,0.000435878,0.000435878,0.0534359
