epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4431,1.72221,3.7584,1.79096,0.00217,0.22698,0.02913,0.01549,1.77243,4.08418,2.27455,3e-05,3e-05,0.09703
2,43.7947,1.73697,3.52876,1.80213,0.0017,0.2052,0.02178,0.00925,1.94466,4.1212,2.52215,6.9538e-05,6.9538e-05,0.0930695
3,63.2003,1.47294,3.16192,1.58883,0.0036,0.19204,0.01409,0.00431,2.21233,4.25209,2.68897,0.000108548,0.000108548,0.0891085
4,83.2259,1.58661,2.83228,1.61559,0.00694,0.23864,0.01556,0.0039,2.38042,4.40896,2.81059,0.00014703,0.00014703,0.085147
5,102.971,1.52735,2.83616,1.66333,0.00423,0.28,0.03121,0.00751,2.3185,4.31118,2.70277,0.000184984,0.000184984,0.081185
6,122.475,1.56196,3.56898,1.81136,0.61652,0.08043,0.04937,0.01688,2.11013,4.20357,2.50257,0.00022241,0.00022241,0.0772224
7,141.946,1.34914,2.65403,1.58891,0.77084,0.08858,0.06814,0.02911,1.979,4.04192,2.38071,0.000259308,0.000259308,0.0732593
8,161.531,1.52408,3.00824,1.79803,0.77867,0.07133,0.06347,0.02586,1.91946,3.96583,2.41221,0.000295678,0.000295678,0.0692957
9,180.859,1.51202,2.5422,1.71117,0.03404,0.34254,0.08701,0.03985,1.85695,3.86642,2.32121,0.00033152,0.00033152,0.0653315
10,200.058,1.3618,2.18847,1.54504,0.04701,0.37002,0.13383,0.06473,1.76867,3.71527,2.13017,0.000366834,0.000366834,0.0613668
11,219.223,1.41252,2.45926,1.65863,0.97101,0.06063,0.15218,0.06447,1.76452,3.62479,2.09009,0.00040162,0.00040162,0.0574016
12,238.229,1.2887,2.84745,1.5607,0.96303,0.07427,0.21008,0.08798,1.68853,3.47307,2.03897,0.000435878,0.000435878,0.0534359
13,257.165,1.34597,2.21826,1.55926,0.94963,0.08148,0.21338,0.09525,1.69692,3.30769,2.03647,0.000469608,0.000469608,0.0494696
14,276.507,1.30146,2.09162,1.63839,0.86284,0.09332,0.23197,0.10936,1.65997,3.21794,1.99286,0.00050281,0.00050281,0.0455028
15,295.172,1.36346,2.26772,1.74825,0.82779,0.14596,0.23916,0.12113,1.67298,3.18803,2.05451,0.000535484,0.000535484,0.0415355
16,316.584,1.2493,2.14119,1.54138,0.81514,0.13933,0.22455,0.12442,1.74289,3.17027,2.11444,0.00056763,0.00056763,0.0375676
17,335.967,1.23352,2.01431,1.52579,0.81001,0.13229,0.23281,0.13869,1.74867,3.04386,2.12151,0.000599248,0.000599248,0.0335992
