epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1547,2.88593,4.4156,2.2267,0.02612,0.5,0.0404,0.02589,1.6051,4.31332,1.12659,2.307e-05,2.307e-05,2.307e-05
2,40.7002,2.78422,4.35429,2.16034,0.02756,0.5,0.0407,0.02277,1.58795,4.31915,1.12556,5.35635e-05,5.35635e-05,5.35635e-05
3,57.712,2.5484,4.22468,1.9125,0.02247,0.28571,0.02686,0.01379,1.59456,4.33133,1.12304,8.37526e-05,8.37526e-05,8.37526e-05
4,75.6136,2.49364,4.07807,1.69179,0.00862,0.07143,0.00502,0.00226,1.63783,4.31447,1.12325,0.000113637,0.000113637,0.000113637
5,92.9437,2.27321,3.75437,1.55885,0.00376,0.03571,0.00217,0.0013,1.68057,4.2954,1.13365,0.000143217,0.000143217,0.000143217
6,110.528,2.29798,3.45328,1.48011,0.0101,0.14286,0.00787,0.00152,1.72886,4.25019,1.14926,0.000172492,0.000172492,0.000172492
7,127.799,2.28406,3.02552,1.44795,0.01321,0.25,0.01024,0.00344,1.72246,4.13922,1.15421,0.000201463,0.000201463,0.000201463
8,145.384,2.25444,2.46877,1.39521,0.07791,0.45628,0.12567,0.0513,1.73145,3.9957,1.16596,0.00023013,0.00023013,0.00023013
9,163.032,2.28332,2.28388,1.38079,0.09163,0.40179,0.19389,0.07444,1.77898,3.9678,1.20126,0.000258492,0.000258492,0.000258492
10,180.474,2.20965,2.02259,1.38241,0.05028,0.20844,0.08255,0.03106,1.85961,4.16977,1.27513,0.000286549,0.000286549,0.000286549
11,197.711,2.15681,1.87143,1.42444,0.0548,0.12654,0.03567,0.01015,1.91246,4.48874,1.37218,0.000314302,0.000314302,0.000314302
12,215.253,2.18108,1.72686,1.3662,0.05715,0.11361,0.03975,0.01475,1.93246,4.64484,1.41513,0.00034175,0.00034175,0.00034175
13,232.343,2.07338,1.73862,1.38541,0.00142,0.00647,0.00321,0.00151,1.97136,4.71907,1.45287,0.000368894,0.000368894,0.000368894
14,249.092,2.12893,1.67708,1.36203,0.00092,0.00431,0.00296,0.00111,1.99859,4.77693,1.47501,0.000395733,0.000395733,0.000395733
15,266.862,2.01564,1.49705,1.37105,0.05928,0.14501,0.04181,0.00596,2.00227,4.83094,1.50418,0.000422268,0.000422268,0.000422268
16,284.745,2.07323,1.46358,1.34178,0.05791,0.32574,0.0595,0.01325,1.97557,4.77596,1.48369,0.000448498,0.000448498,0.000448498
17,302.543,1.99406,1.45552,1.33466,0.04545,0.28571,0.0392,0.00843,1.96165,4.77382,1.47873,0.000474424,0.000474424,0.000474424
18,320.282,2.01317,1.48716,1.34246,0.06044,0.39286,0.05713,0.01064,1.99291,4.86645,1.48963,0.000500045,0.000500045,0.000500045
19,338.426,1.9838,1.36438,1.29215,0.05385,0.5,0.08194,0.01603,2.01081,4.86041,1.50136,0.000525362,0.000525362,0.000525362
20,356.713,1.92385,1.30568,1.26779,0.0325,0.46429,0.06538,0.01398,1.99603,4.80132,1.49261,0.000550374,0.000550374,0.000550374
21,374.019,1.98007,1.30876,1.3054,0.02521,0.42857,0.0316,0.00623,2.01991,4.70538,1.4832,0.000575081,0.000575081,0.000575081
22,391.457,1.96726,1.31156,1.27234,0.01859,0.29218,0.02481,0.00643,2.03871,4.6502,1.4739,0.000599484,0.000599484,0.000599484
23,409.099,1.9383,1.26919,1.3267,0.02005,0.3008,0.06289,0.01267,2.0609,4.60633,1.47494,0.000623583,0.000623583,0.000623583
24,426.76,1.9978,1.25974,1.29188,0.5198,0.04124,0.10125,0.02386,2.10141,4.43353,1.49593,0.000647377,0.000647377,0.000647377
25,444.23,1.93667,1.26712,1.30009,0.04185,0.57974,0.13504,0.03634,2.15377,4.2395,1.52509,0.000670866,0.000670866,0.000670866
26,461.282,1.93335,1.34445,1.3335,0.0408,0.57543,0.10917,0.03369,2.15276,4.22699,1.5244,0.000673836,0.000673836,0.000673836
27,478.78,1.92659,1.26863,1.27366,0.03636,0.5311,0.09969,0.03149,2.15526,4.34773,1.52104,0.00067003,0.00067003,0.00067003
28,496.131,1.93975,1.26696,1.26801,0.03621,0.5625,0.12739,0.03808,2.1555,4.3576,1.52513,0.000666223,0.000666223,0.000666223
29,513.553,1.92188,1.25036,1.28738,0.04307,0.58405,0.13462,0.04501,2.11479,4.22385,1.50001,0.000662417,0.000662417,0.000662417
30,531.436,1.85956,1.19636,1.24436,0.05113,0.61422,0.24295,0.07644,2.0512,4.04613,1.45647,0.00065861,0.00065861,0.00065861
31,548.566,1.81352,1.24237,1.30473,0.05361,0.63362,0.2398,0.07346,2.01843,3.9892,1.44201,0.000654804,0.000654804,0.000654804
32,565.931,1.82574,1.2498,1.25431,0.0542,0.64224,0.21383,0.07075,2.01165,3.96719,1.44064,0.000650997,0.000650997,0.000650997
33,584.286,1.92715,1.17907,1.21887,0.06736,0.70043,0.20432,0.07329,2.04587,3.85061,1.43951,0.00064719,0.00064719,0.00064719
34,601.842,1.83564,1.2163,1.24891,0.06781,0.71767,0.22264,0.08058,2.08782,3.75852,1.44384,0.000643384,0.000643384,0.000643384
35,619.718,1.87001,1.20271,1.21993,0.0673,0.71552,0.22023,0.07798,2.11845,3.79101,1.45961,0.000639577,0.000639577,0.000639577
36,637.345,1.84969,1.11915,1.26989,0.07008,0.72845,0.22733,0.0813,2.11376,3.76162,1.45999,0.000635771,0.000635771,0.000635771
37,655.189,1.86836,1.18553,1.24993,0.07408,0.75216,0.26099,0.0898,2.1085,3.67912,1.45077,0.000631964,0.000631964,0.000631964
38,672.922,1.80293,1.16214,1.25082,0.07131,0.71983,0.24286,0.088,2.11181,3.76606,1.45284,0.000628158,0.000628158,0.000628158
39,690.382,1.84458,1.14558,1.24578,0.06855,0.71767,0.22401,0.08717,2.13764,3.76204,1.4585,0.000624351,0.000624351,0.000624351
40,708.524,1.78902,1.18188,1.21683,0.06462,0.68534,0.20247,0.07507,2.14753,3.86928,1.4825,0.000620545,0.000620545,0.000620545
41,726.378,1.85537,1.14558,1.22773,0.48285,0.50689,0.27008,0.0966,2.11729,3.74136,1.46636,0.000616738,0.000616738,0.000616738
42,744.044,1.77534,1.15153,1.21746,0.41602,0.52771,0.27046,0.10454,2.06503,3.6329,1.44026,0.000612931,0.000612931,0.000612931
43,761.371,1.7507,1.11629,1.23865,0.07729,0.68073,0.21123,0.09835,2.04431,3.62987,1.42715,0.000609125,0.000609125,0.000609125
44,778.986,1.77676,1.1954,1.27901,0.07398,0.64286,0.20661,0.08728,2.09322,3.67443,1.44344,0.000605318,0.000605318,0.000605318
45,796.519,1.78524,1.09535,1.23811,0.0668,0.60714,0.15499,0.06582,2.15309,3.69134,1.45374,0.000601512,0.000601512,0.000601512
46,814.243,1.83424,1.1426,1.21587,0.06126,0.58651,0.12321,0.05521,2.17741,3.60882,1.45418,0.000597705,0.000597705,0.000597705
47,832.284,1.89231,1.09286,1.22903,0.05878,0.67303,0.11429,0.04985,2.18042,3.50511,1.45633,0.000593899,0.000593899,0.000593899
48,850.125,1.72667,1.09076,1.19897,0.05361,0.71952,0.11055,0.04771,2.1416,3.44199,1.4437,0.000590092,0.000590092,0.000590092
49,867.939,1.78905,1.08252,1.18549,0.048,0.71952,0.09453,0.04061,2.10135,3.46921,1.43794,0.000586286,0.000586286,0.000586286
50,887.131,1.7884,1.08191,1.17724,0.04134,0.67426,0.0676,0.02709,2.11403,3.63878,1.45872,0.000582479,0.000582479,0.000582479
51,905.147,1.75129,1.06001,1.18664,0.03218,0.4569,0.04981,0.02038,2.11144,3.75522,1.46267,0.000578672,0.000578672,0.000578672
52,925.651,1.78784,1.08215,1.20594,0.03782,0.50677,0.04412,0.01496,2.09201,3.87108,1.46689,0.000574866,0.000574866,0.000574866
53,948.051,1.83997,1.07047,1.20197,0.03813,0.48091,0.0347,0.01103,2.08616,3.97942,1.46599,0.000571059,0.000571059,0.000571059
54,970.021,1.71177,1.08764,1.24525,0.0389,0.55788,0.03924,0.01362,2.08688,4.04888,1.46993,0.000567253,0.000567253,0.000567253
55,991.848,1.69724,1.07179,1.22208,0.04061,0.63362,0.0488,0.01838,2.07357,4.01643,1.4682,0.000563446,0.000563446,0.000563446
56,1012.69,1.77958,1.11529,1.22228,0.04529,0.67241,0.07315,0.02728,2.03918,3.90315,1.45458,0.00055964,0.00055964,0.00055964
57,1034.63,1.72707,1.11853,1.1997,0.0507,0.72845,0.1061,0.04187,1.99789,3.72829,1.42876,0.000555833,0.000555833,0.000555833
58,1056.51,1.7754,1.08157,1.19897,0.05101,0.76293,0.12951,0.05275,1.97742,3.58159,1.40594,0.000552027,0.000552027,0.000552027
