epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.19,2.37062,4.2044,1.77491,0.01536,0.23681,0.03788,0.01218,2.30543,4.24117,1.60336,8.459e-05,8.459e-05,8.459e-05
2,70.3145,2.19763,3.86582,1.59426,0.02044,0.27924,0.04991,0.01896,2.22805,4.13747,1.50706,0.000175119,0.000175119,0.000175119
3,102.027,2.18367,3.41247,1.5409,0.02873,0.31755,0.0786,0.0311,2.14232,3.93286,1.47566,0.000263821,0.000263821,0.000263821
4,136.391,2.08984,2.86579,1.45619,0.03497,0.34359,0.13051,0.05039,2.11299,3.61877,1.48341,0.000350696,0.000350696,0.000350696
5,171.803,2.04542,2.44045,1.41175,0.90139,0.09338,0.22264,0.08298,2.1639,3.18659,1.51589,0.000435743,0.000435743,0.000435743
6,206.614,2.02653,2.25534,1.49179,0.81667,0.16453,0.26417,0.10359,2.19602,2.82023,1.49432,0.000518963,0.000518963,0.000518963
7,249.207,2.01967,2.14885,1.43333,0.69175,0.25981,0.28665,0.11253,2.26324,2.30976,1.52019,0.000600357,0.000600357,0.000600357
8,283.577,2.005,2.05706,1.44812,0.69946,0.27684,0.27964,0.1093,2.28541,2.18942,1.55148,0.000679923,0.000679923,0.000679923
9,318.061,1.9681,1.90034,1.417,0.78081,0.30796,0.32512,0.13305,2.22051,2.05951,1.547,0.000708095,0.000708095,0.000708095
10,355.891,1.91858,1.86026,1.43078,0.74657,0.31538,0.34377,0.13639,2.21548,1.98296,1.53912,0.000700482,0.000700482,0.000700482
11,389.783,1.88305,1.68402,1.40759,0.71176,0.35921,0.37812,0.16149,2.16009,1.79885,1.50527,0.000692869,0.000692869,0.000692869
12,424.798,1.9353,1.65128,1.38179,0.71669,0.39072,0.40416,0.17473,2.14372,1.65273,1.48585,0.000685256,0.000685256,0.000685256
13,459.029,1.87551,1.57493,1.39821,0.78706,0.37155,0.46391,0.19893,2.10286,1.56416,1.46825,0.000677643,0.000677643,0.000677643
14,493.739,1.83826,1.51219,1.34664,0.72917,0.40427,0.47384,0.20454,2.07505,1.51084,1.45918,0.00067003,0.00067003,0.00067003
15,529.172,1.90331,1.51045,1.38738,0.66414,0.47772,0.49488,0.21992,2.02129,1.45638,1.4325,0.000662417,0.000662417,0.000662417
16,565.609,1.83552,1.44744,1.36909,0.68966,0.47011,0.51725,0.22764,1.99057,1.43634,1.41796,0.000654804,0.000654804,0.000654804
17,605.854,1.83862,1.4118,1.34581,0.68586,0.47119,0.50342,0.21386,2.01634,1.35783,1.43294,0.00064719,0.00064719,0.00064719
