epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8808,2.352,4.33313,1.80163,0.00884,0.17301,0.03246,0.00821,2.60153,4.45698,1.88386,3.125e-05,3.125e-05,3.125e-05
2,119.886,2.29629,4.21955,1.70943,0.02032,0.22249,0.04121,0.01442,2.34896,4.40443,1.65865,6.80694e-05,6.80694e-05,6.80694e-05
3,178.243,2.13961,3.88345,1.55949,0.02475,0.25815,0.05777,0.0221,2.2234,4.32765,1.55944,0.000104146,0.000104146,0.000104146
4,238.251,2.09417,3.52195,1.48546,0.02833,0.25664,0.07113,0.02681,2.13697,4.25951,1.51779,0.000139481,0.000139481,0.000139481
5,299.269,2.06811,3.10616,1.47882,0.04795,0.3198,0.13949,0.05364,2.11142,4.11109,1.50296,0.000174073,0.000174073,0.000174073
6,331.118,2.08263,2.84395,1.4986,0.05963,0.43791,0.21854,0.07971,2.12577,3.92069,1.50386,0.000207922,0.000207922,0.000207922
7,383.098,2.05664,2.42338,1.3964,0.05887,0.50319,0.24914,0.08587,2.14111,3.67752,1.50928,0.000241029,0.000241029,0.000241029
8,442.365,1.99938,2.21975,1.40751,0.06074,0.43654,0.247,0.08495,2.23312,3.50654,1.55424,0.000273393,0.000273393,0.000273393
9,502.021,1.93828,1.87673,1.34073,0.85663,0.16892,0.27359,0.1072,2.21724,3.31969,1.54144,0.000305015,0.000305015,0.000305015
10,561.488,1.90095,1.99431,1.38248,0.95372,0.14213,0.29668,0.12461,2.24428,3.0427,1.56563,0.000335894,0.000335894,0.000335894
11,621.36,1.91498,1.74544,1.37761,0.93265,0.17041,0.3513,0.14837,2.25576,2.93425,1.55537,0.000366031,0.000366031,0.000366031
12,681.096,1.8694,1.64297,1.3809,0.9101,0.233,0.39913,0.15678,2.28368,2.8068,1.55177,0.000395426,0.000395426,0.000395426
13,739.401,1.96879,1.78973,1.42047,0.88729,0.24761,0.4647,0.18257,2.21572,2.69315,1.52632,0.000424078,0.000424078,0.000424078
14,800.481,1.92351,1.68829,1.31769,0.93836,0.25385,0.47896,0.19209,2.1901,2.4123,1.52144,0.000451987,0.000451987,0.000451987
15,860.046,1.85444,1.60051,1.31856,0.89604,0.27035,0.46763,0.1872,2.19881,2.29926,1.53193,0.000479154,0.000479154,0.000479154
16,919.153,1.85606,1.53761,1.3539,0.77435,0.37202,0.48493,0.1932,2.17256,2.15478,1.52371,0.000505578,0.000505578,0.000505578
17,978.317,1.87781,1.5078,1.33689,0.74585,0.41903,0.53295,0.21279,2.12787,2.0275,1.51428,0.000526,0.000526,0.000526
18,1053.94,1.7909,1.40445,1.29598,0.73506,0.48974,0.58223,0.22632,2.13412,1.88022,1.52499,0.000519812,0.000519812,0.000519812
19,1113.21,1.84874,1.43023,1.34465,0.76068,0.49058,0.59349,0.22607,2.15249,1.84107,1.52339,0.000513625,0.000513625,0.000513625
20,1172.65,1.78217,1.35074,1.29598,0.8004,0.49752,0.59918,0.23094,2.15954,1.82642,1.50995,0.000507438,0.000507438,0.000507438
21,1233.27,1.75839,1.34781,1.24044,0.79559,0.52803,0.63925,0.265,2.13383,1.75381,1.49523,0.00050125,0.00050125,0.00050125
22,1292.32,1.847,1.37309,1.31253,0.76986,0.58314,0.67039,0.28414,2.12784,1.66973,1.50669,0.000495063,0.000495063,0.000495063
23,1348.46,1.84038,1.35546,1.29818,0.73884,0.61459,0.68779,0.30362,2.09958,1.57266,1.50734,0.000488875,0.000488875,0.000488875
24,1408.89,1.74959,1.3121,1.25813,0.77692,0.63983,0.71051,0.32248,2.05603,1.42206,1.50261,0.000482687,0.000482687,0.000482687
25,1475.94,1.73108,1.23364,1.26319,0.69958,0.6428,0.68624,0.30487,2.04782,1.42229,1.49758,0.0004765,0.0004765,0.0004765
26,1547.44,1.72118,1.22001,1.2636,0.74434,0.62519,0.73021,0.31292,2.02127,1.37091,1.46847,0.000470312,0.000470312,0.000470312
27,1609.72,1.71475,1.20311,1.25494,0.74183,0.65119,0.71344,0.32162,2.02511,1.33553,1.47057,0.000464125,0.000464125,0.000464125
28,1668.34,1.77407,1.29753,1.31698,0.79604,0.63865,0.71794,0.33,2.03835,1.3102,1.47682,0.000457938,0.000457938,0.000457938
